As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region ,Statistical Area 2,Number of offences
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Alligator,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Alligator,2
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Daly,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,-,2
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Tennant Creek,-,3
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,-,5
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,4
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Alligator,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Barkly,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,2
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Weddell,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,-,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Alice Springs,-,53
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,12
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Katherine,-,16
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Nhulunbuy,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Alligator,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Barkly,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Daly,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,East Arnhem,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Elsey,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Gulf,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Humpty Doo,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Sandover - Plenty,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Victoria River,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Yuendumu - Anmatjere,9
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,6
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Tennant Creek,-,24
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Alice Springs,-,16
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,34
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Katherine,-,19
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Nhulunbuy,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Alligator,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Anindilyakwa,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Barkly,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Elsey,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Gulf,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Petermann - Simpson,3
